task,group,random6_unsteered,swap1_a0.0,swap1_a2.0,swap1_a4.0,swap1_a8.0,swap1_a16.0,swap1_a32.0,swap1_a64.0,swap1_best,fullmean_a0.5,fullmean_a1.0,fullmean_a2.0,fullmean_a4.0,fullmean_best
adjective_to_adverb,train,0.0,0.0,0.0,0.0067,0.0067,0.0533,0.1667,0.0667,0.1667,0.0067,0.1667,0.5867,0.7067,0.7067
adjective_to_noun,train,0.0,0.0,0.0,0.02,0.1067,0.34,0.42,0.5467,0.5467,0.0533,0.22,0.4133,0.38,0.4133
ag_news,heldout,0.0,0.0,0.0,0.0067,0.0067,0.2667,0.2533,0.2067,0.2667,0.0,0.0733,0.2733,0.2467,0.2733
agent_noun_to_verb,train,0.0,0.0067,0.0,0.0267,0.14,0.48,0.58,0.48,0.58,0.0733,0.3267,0.5933,0.6,0.6
animal_class,train,0.0,0.0,0.0,0.0133,0.16,0.48,0.56,0.2733,0.56,0.0533,0.3133,0.4867,0.3933,0.4867
animal_plant_object,train,0.0,0.0,0.0,0.0,0.1067,0.2933,0.3333,0.22,0.3333,0.0,0.1133,0.2067,0.2133,0.2133
antonym,train,0.0,0.0,0.0,0.0,0.0133,0.1467,0.18,0.2467,0.2467,0.0067,0.0533,0.1,0.22,0.22
article_choice,train,0.0,0.0,0.0,0.0,0.0,0.1667,0.2,0.1667,0.2,0.0067,0.08,0.3467,0.2467,0.3467
capitalize,train,0.0,0.0,0.0,0.0,0.2067,0.54,0.5733,0.4933,0.5733,0.0267,0.46,0.8467,0.8733,0.8733
capitalize_first_letter,train,0.0,0.0,0.0,0.0067,0.0467,0.1667,0.1067,0.04,0.1667,0.0067,0.1467,0.42,0.4533,0.4533
city-country,train,0.0133,0.0067,0.0067,0.0,0.0733,0.4533,0.3467,0.1467,0.4533,0.02,0.2133,0.4267,0.56,0.56
compound_first,train,0.0,0.0067,0.02,0.0,0.06,0.24,0.2933,0.3,0.3,0.0267,0.22,0.4133,0.4933,0.4933
concrete_abstract,train,0.0,0.0,0.0,0.0,0.0067,0.3733,0.3667,0.2067,0.3733,0.0,0.14,0.28,0.3267,0.3267
contains_letter_e,train,0.0067,0.0,0.0,0.0133,0.0533,0.3133,0.32,0.16,0.32,0.0,0.18,0.2933,0.26,0.2933
country-capital,train,0.0,0.0,0.0,0.0,0.14,0.52,0.7067,0.6733,0.7067,0.0,0.3733,0.6867,0.7267,0.7267
day_after_textual_date,train,0.0,0.0,0.0,0.0,0.0133,0.22,0.24,0.0933,0.24,0.0,0.0533,0.22,0.1533,0.22
ends_with_ing,heldout,0.0,0.0,0.0,0.0067,0.0733,0.3133,0.3333,0.12,0.3333,0.0067,0.14,0.2867,0.1867,0.2867
english-french,heldout,0.0,0.0,0.0,0.02,0.2,0.2733,0.12,0.0467,0.2733,0.0067,0.1533,0.44,0.5133,0.5133
english-italian,train,0.0,0.0,0.0067,0.04,0.1867,0.2467,0.16,0.0333,0.2467,0.0067,0.14,0.4467,0.4933,0.4933
english-portuguese,train,0.0,0.0,0.0,0.0067,0.1267,0.2867,0.2667,0.1,0.2867,0.0133,0.18,0.5867,0.6067,0.6067
english-spanish,train,0.0,0.0,0.0067,0.0267,0.0667,0.2533,0.1133,0.0267,0.2533,0.0067,0.1467,0.5067,0.5333,0.5333
first_digit,heldout,0.0,0.0,0.0,0.0,0.0133,0.1333,0.2267,0.0467,0.2267,0.0267,0.0867,0.2933,0.2733,0.2933
first_three_letters,train,0.0,0.0,0.0,0.0067,0.0733,0.1933,0.22,0.18,0.22,0.02,0.1,0.3533,0.3733,0.3733
french-english,heldout,0.02,0.0,0.0333,0.14,0.3333,0.5133,0.5733,0.4733,0.5733,0.1533,0.4,0.5733,0.6667,0.6667
french_noun_gender,train,0.0,0.0,0.0,0.0,0.0867,0.5133,0.5133,0.3333,0.5133,0.0133,0.4267,0.4733,0.3867,0.4733
german-english,train,0.0333,0.0,0.0467,0.1333,0.3067,0.5067,0.56,0.42,0.56,0.1933,0.4067,0.58,0.6733,0.6733
german_noun_gender,train,0.0,0.0,0.0,0.0133,0.0533,0.2667,0.2067,0.1267,0.2667,0.0,0.0467,0.1733,0.1333,0.1733
gerund_to_base,heldout,0.0,0.0,0.0133,0.0867,0.3333,0.6533,0.74,0.6,0.74,0.1133,0.5133,0.7867,0.8467,0.8467
gerund_to_past,train,0.0,0.0,0.0,0.0067,0.0933,0.2667,0.34,0.44,0.44,0.0333,0.3133,0.68,0.7467,0.7467
hypernym_category,train,0.0,0.0,0.0,0.0,0.06,0.2467,0.32,0.2067,0.32,0.0,0.0867,0.22,0.2667,0.2667
